muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
muon phi, muon eta, electron pt, electron phi, electron eta, jet 1 pt, jet 1 phi, jet 1 eta, jet 2 pt, jet 2 phi, jet 2 eta, gen muon pt
 -0.5192, 1.06946, 67.7566, 1.99507, 1.08314, 145.803, -0.0745417, 1.80424, 10.2996, 1.33038, -2.05853, 91.5575
 -1.94257, -1.44032, 72.6079, 1.94708, -0.810109, 56.754, 0.754912, -1.45517, 10.5724, -0.272474, 2.51764, 19.2564
 2.26274, -0.104649, 57.8019, -0.495507, -1.3693, 104.641, 2.12108, -1.35132, 10.1711, 1.02931, -0.322497, 40.7406
 0.451159, 1.54263, 116.649, 2.69476, 1.7792, 104.881, -2.66396, 0.957152, 11.0314, -1.56578, -3.01924, 104.098
 0.650669, 1.21166, 77.9565, 3.03945, 0.861757, 117.932, -2.33556, 0.910469, 10.5955, -1.05135, 0.0660614, -1000
 2.96929, 0.662231, 73.8901, -1.17596, -2.007, 123.325, -0.658736, -0.434218, 10.048, -1.7177, 0.230011, -1000
 0.915292, -0.139002, 147.846, -2.31754, 0.438772, 148.02, 1.42509, 0.177005, 10.281, -2.86831, 0.168161, 171.888
 1.23344, 2.27797, 39.9511, 2.44407, 1.9152, 42.1315, -1.53824, 2.43987, 10.5025, -1.00947, -1.87406, 95.8608
 -3.00256, 1.23195, 92.2967, 0.504518, 0.505077, 148.778, -1.04281, 1.22764, 10.2561, 2.72516, 2.9364, 38.5223
 0.0731234, 0.416324, 8.04785, -2.08477, -1.42439, 60.2274, 1.3508, -0.958062, 10.6493, 0.717264, -0.0332916, -1000
 2.48716, -0.286834, 65.5563, -0.180086, 2.03987, 97.6025, 0.195283, 1.04654, 11.2301, 1.69274, 1.93122, 50.6528
 -1.50174, -1.52291, 69.0293, -1.75579, -0.358256, 103.757, 2.73428, -1.58806, 10.5289, -0.325177, -2.01419, 38.1934
 -1.80689, -0.156816, 29.2564, 2.73702, 0.13411, 152.743, 1.89579, -1.14172, 11.0126, 0.288381, 0.392004, 59.4915
 -3.13842, 0.0537437, 58.4347, 0.105147, 0.282668, 121.286, -1.77937, 0.699241, 10.2909, 2.55189, -2.64239, 26.7298
 0.960591, -1.55299, 57.5811, 1.57728, 0.885464, 69.2777, 2.83261, -0.841659, 10.7344, 2.49544, 2.72339, 23.6024
 -1.74901, -1.47337, 52.2123, 0.902882, -0.516745, 147.001, 1.13013, -1.24174, 38.5998, 2.56182, 0.0767333, 25.5874
 1.05842, -1.68262, 29.1578, 0.0748868, -0.60459, 71.8593, -3.14121, -1.48046, 10.7344, 1.75025, 2.64053, 44.9971
 -0.917626, 2.0101, 41.0493, 2.22431, 1.57665, 67.0447, 0.695669, 1.53607, 10.6535, -2.23611, 1.48454, 45.4054
 0.652878, -0.646779, 55.064, -1.50458, -0.209124, 92.3679, 0.545474, 0.0843637, 11.8265, 1.31812, -1.67549, 28.0104
 -1.93974, 0.10863, 145.343, 2.29557, -0.547168, 46.1242, 0.783015, 1.67714, 10.3236, -0.912085, -2.91397, 6.18477
 -1.5031, -1.11024, 105.36, 1.8454, -0.0791473, 129.075, -0.967597, -1.68803, 10.8199, -0.980888, -2.4901, 40.251
 1.24535, 1.39318, 43.4609, 1.04129, 0.316544, 146.876, -2.43548, 0.682115, 11.1582, 3.13318, 0.71659, 56.3469
 -2.09384, -1.0952, 82.9665, 2.73671, 1.08849, 188.155, 0.747277, 2.0827, 10.4392, -1.72086, 1.61531, 80.595
 1.48386, -2.09876, 49.978, 0.454471, -0.735165, 91.3988, -2.33876, -0.782505, 10.1451, 1.18539, -1.33044, -1000
 -2.06561, -0.805335, 113.042, 2.86924, -1.81589, 135.507, -0.0607298, -1.4639, 10.6929, 0.594243, -1.69389, 4.14283
 2.03774, 0.441931, 51.5414, -1.16024, -0.555621, 76.4527, 0.268294, -1.6754, 10.2891, -0.669525, 2.77958, -1000
 -2.60589, -0.792906, 33.0019, -0.127241, -0.990494, 90.7146, 2.43156, -1.53901, 10.9726, 2.68462, 2.5369, 52.0464
 2.35075, -0.15559, 34.9636, -1.62196, 0.70369, 101.26, -0.313935, -2.49434, 10.5196, -2.73363, 0.703146, -1000
 2.96683, -0.859984, 239.082, 2.76215, -1.40144, 219.72, -0.364368, -0.859614, 10.9692, -1.03208, -2.6353, 8.43292
 2.09956, -1.79049, 126.314, 0.786374, -1.22327, 117.678, -1.65928, -1.46976, 10.273, -1.42703, -2.85882, -1000
 -2.37587, 1.63205, 111.099, -0.643312, -0.457919, 116.253, 2.81679, -0.0225149, 10.1306, 0.377705, 0.702238, 27.2097
 -2.69751, -0.753088, 103.643, -2.40125, 0.488249, 114.618, -0.324671, 0.430926, 10.7229, 2.48166, -1.08451, 16.7131
 1.42545, -0.856595, 69.0024, -2.51884, -0.196505, 83.839, 1.68671, -0.317134, 16.9215, -3.08345, 1.08074, 30.5968
 -0.785096, 1.26837, 72.6062, -1.18384, -0.280828, 65.4676, 2.37908, 1.04373, 10.025, 2.32569, -0.507664, 50.6696
 -2.68785, -1.93262, 41.6903, -2.27897, -0.603425, 57.9187, 0.923746, 0.142108, 10.4717, 1.37542, 0.504386, 68.9865
 -1.25126, -0.806276, 42.4521, -0.104961, -0.413966, 165.732, 2.84425, -0.2719, 12.4629, -1.69103, 1.89309, 36.4381
 2.99686, -0.10225, 62.9939, -1.41949, -1.0684, 129.378, -1.06101, -0.495321, 10.7207, 0.991189, 2.5108, -1000
 -1.3655, 0.833962, 111.07, 2.25517, 1.02435, 149.31, -0.502285, 2.38415, 10.0357, 1.85183, 1.51112, -1000
 1.96635, -1.92273, 55.0029, -2.29133, -0.822318, 154.343, 2.77443, -1.44869, 10.5645, -1.11758, -2.81948, -1000
 3.0963, -2.13207, 28.9242, 0.0961269, -0.405778, 191.882, -1.36017, 0.703505, 10.0748, -1.71174, 1.83797, -1000
